cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
93,Simulation 3,1000,854,103,38,5
94,Simulation 3,1000,852,104,38,6
94,Simulation 1,1000,844,112,43,1
94,Simulation 2,1000,812,103,79,6
94,Simulation 0,1000,908,71,21,0
95,Simulation 0,1000,906,70,24,0
95,Simulation 3,1000,849,106,39,6
95,Simulation 1,1000,841,112,46,1
95,Simulation 2,1000,812,101,81,6
96,Simulation 3,1000,840,111,43,6
96,Simulation 0,1000,906,69,25,0
96,Simulation 1,1000,838,112,49,1
96,Simulation 2,1000,812,98,84,6
97,Simulation 2,1000,806,100,88,6
97,Simulation 1,1000,833,116,50,1
97,Simulation 3,1000,836,114,44,6
97,Simulation 0,1000,905,70,25,0
98,Simulation 2,1000,805,99,90,6
98,Simulation 3,1000,834,113,47,6
98,Simulation 1,1000,834,114,51,1
98,Simulation 0,1000,903,71,26,0
99,Simulation 2,1000,804,99,91,6
99,Simulation 1,1000,832,114,53,1
99,Simulation 3,1000,833,113,48,6
99,Simulation 0,1000,900,72,28,0
100,Simulation 0,1000,898,74,28,0
100,Simulation 3,1000,832,113,49,6
100,Simulation 1,1000,829,117,53,1
100,Simulation 2,1000,800,102,92,6
101,Simulation 3,1000,829,116,49,6
101,Simulation 0,1000,896,76,28,0
101,Simulation 2,1000,798,104,92,6
101,Simulation 1,1000,827,117,55,1
102,Simulation 2,1000,798,103,93,6
102,Simulation 3,1000,827,115,52,6
102,Simulation 0,1000,893,78,29,0
102,Simulation 1,1000,820,119,59,2
103,Simulation 2,1000,793,105,96,6
103,Simulation 1,1000,820,117,61,2
103,Simulation 3,1000,822,118,54,6
103,Simulation 0,1000,887,84,29,0
104,Simulation 2,1000,792,103,99,6
104,Simulation 3,1000,819,118,57,6
104,Simulation 1,1000,817,117,64,2
104,Simulation 0,1000,883,87,30,0
105,Simulation 0,1000,879,91,30,0
105,Simulation 1,1000,815,117,66,2
105,Simulation 3,1000,819,116,59,6
105,Simulation 2,1000,787,106,101,6
106,Simulation 0,1000,877,93,30,0
106,Simulation 3,1000,814,118,62,6
106,Simulation 1,1000,814,117,67,2
106,Simulation 2,1000,785,106,103,6
107,Simulation 3,1000,812,119,63,6
107,Simulation 0,1000,873,97,30,0
107,Simulation 2,1000,784,107,103,6
107,Simulation 1,1000,810,119,69,2
108,Simulation 3,1000,812,118,64,6
108,Simulation 2,1000,785,105,103,7
108,Simulation 0,1000,869,100,31,0
108,Simulation 1,1000,809,120,69,2
109,Simulation 0,1000,868,100,32,0
109,Simulation 2,1000,785,103,105,7
109,Simulation 3,1000,809,120,65,6
109,Simulation 1,1000,805,121,72,2
110,Simulation 3,1000,805,123,66,6
110,Simulation 1,1000,801,120,77,2
110,Simulation 2,1000,785,101,107,7
110,Simulation 0,1000,865,100,33,2
111,Simulation 3,1000,803,123,68,6
111,Simulation 2,1000,786,99,108,7
111,Simulation 0,1000,862,103,33,2
111,Simulation 1,1000,800,118,79,3
112,Simulation 2,1000,779,105,109,7
112,Simulation 3,1000,800,120,74,6
112,Simulation 1,1000,798,120,79,3
112,Simulation 0,1000,861,104,33,2
113,Simulation 2,1000,776,105,112,7
113,Simulation 0,1000,857,108,33,2
113,Simulation 3,1000,797,118,79,6
113,Simulation 1,1000,795,120,82,3
114,Simulation 1,1000,793,121,83,3
114,Simulation 2,1000,777,104,112,7
114,Simulation 3,1000,797,118,79,6
114,Simulation 0,1000,855,109,34,2
115,Simulation 2,1000,776,105,112,7
115,Simulation 0,1000,850,113,35,2
115,Simulation 1,1000,791,123,83,3
115,Simulation 3,1000,793,123,78,6
116,Simulation 0,1000,843,119,36,2
116,Simulation 2,1000,774,105,114,7
116,Simulation 3,1000,792,123,78,7
116,Simulation 1,1000,787,125,85,3
117,Simulation 2,1000,775,104,114,7
117,Simulation 1,1000,785,125,87,3
117,Simulation 0,1000,839,121,38,2
117,Simulation 3,1000,790,124,79,7
118,Simulation 1,1000,785,124,88,3
118,Simulation 0,1000,836,122,40,2
118,Simulation 3,1000,788,123,82,7
118,Simulation 2,1000,774,103,115,8
119,Simulation 2,1000,773,100,117,10
119,Simulation 1,1000,785,123,89,3
119,Simulation 3,1000,787,123,83,7
119,Simulation 0,1000,835,122,41,2
120,Simulation 3,1000,786,122,84,8
